objectid,parentid,format,filename,title,description,latitude,longitude,source,identifier,type,language,rights,rightsstatement,youtubeid,vimeoid,creator,date,subject,location
coll001,,image/jpeg,venue01.jpg,Via Eliseo Raimondi,1,45.13933182,10.01586628,,,,,,,,,,,,
bannerZonaC,,image/jpeg,,,,,,,,,,,,,,,,,
